term,invariant,mean_boot_1,mean_boot_2,sd_boot_1,sd_boot_2,mean_boot_difference,sd_boot_difference,mean_boot_fit,sd_boot_fit,n_boot,mean_random_1,mean_random_2,sd_random_1,sd_random_2,mean_random_difference,sd_random_difference,mean_random_fit,sd_random_fit,n_random,d_boot_low,d_boot,d_boot_high,d_random_low,d_random,d_random_high,type,run_number,computer
lv =~ q1,FALSE,0.607695862785458,0.606902443858715,0.0847585708623467,0.0896751503182601,0.000793418926742971,0.136443054551261,0.919044499643614,0.0367869456604459,869,0.589829906390245,0.590115500885541,0.060435937019327,0.062408287744145,-0.00028559449529577,0.0542927931707201,0.926571670735128,0.0352081884602929,763,-0.084935459767633,0.00909347050758343,0.103119781913682,-0.104994649892842,-0.00464910242015048,0.0956979702195877,Invariant,1,computer11
lv =~ q1,TRUE,0.609987894642166,0.619558091925167,0.0824630491524409,0.0874406274469844,-0.00957019728300081,0.13875772855658,0.987860949584783,0.0091269718259868,131,0.608736268887787,0.606884511445777,0.0580643634265012,0.0597964764133126,0.00185175744200957,0.0525351192335576,0.989258756685569,0.00928340898322554,237,-0.354865111673616,-0.112606073584522,0.129869082647884,-0.148656655300541,0.031419384177168,0.211462153154818,Invariant,1,computer11
lv =~ q2,FALSE,0.380756418610705,0.377163274184708,0.100893520650122,0.099117654675622,0.00359314442599649,0.16727933312082,0.920343469457969,0.0364283328531935,860,0.386518799196229,0.390592343313914,0.0779976729962331,0.0775407104561609,-0.00407354411768427,0.108176594169831,0.927272561902165,0.0350302465675418,770,-0.0586026956339853,0.0359280205028889,0.130448282654363,-0.152277344816557,-0.0523796949279271,0.0475349765483823,Invariant,1,computer11
lv =~ q2,TRUE,0.390318418761245,0.387383812373559,0.0957795783046461,0.0942122342822983,0.00293460638768651,0.166857166189612,0.987104592533683,0.00907691156204536,140,0.399003946286143,0.399522507050317,0.0751291491123435,0.0704038186957322,-0.000518560764174107,0.102261774672235,0.989082830303652,0.00905681314087539,230,-0.203411452201226,0.0308908736199876,0.26513767173715,-0.189886893679207,-0.00712261479783334,0.175649437688918,Invariant,1,computer11
lv =~ q3,FALSE,0.577677971358319,0.576465233475956,0.130473245199658,0.126789262829346,0.00121273788236299,0.235202635829607,0.920457565909516,0.035823658933726,861,0.595572159284769,0.592826977431584,0.0729105008005809,0.0724000165003255,0.00274518185318413,0.100398666358954,0.926837950461307,0.0345648446623893,768,-0.0850377949644423,0.00942705230103919,0.103889159376228,-0.062250652799694,0.0377834304686802,0.137805201503469,Invariant,1,computer11
lv =~ q3,TRUE,0.576907285651719,0.593028137320307,0.123027085400852,0.121242198922431,-0.0161208516685877,0.223009376766524,0.986780918415602,0.00902784670129032,139,0.592847725957119,0.598827515003932,0.064135286933613,0.0671084328142625,-0.00597978904681318,0.0913024946560069,0.988882733479404,0.00902905980903502,232,-0.367228801505923,-0.131988934761083,0.103489437475081,-0.273125162356406,-0.0911015822252566,0.0910204686925425,Invariant,1,computer11
lv =~ q4,FALSE,0.29559075636473,0.2982341217803,0.0784351379794954,0.0776243883898392,-0.00264336541556976,0.111613648367108,0.921525788791091,0.036018292143183,857,0.2939519998272,0.298224917840068,0.0767099042183648,0.0741345598882372,-0.00427291801286745,0.106034696096475,0.926862877761917,0.0347856023659025,776,-0.128560914066252,-0.0338759165350708,0.0608189725948204,-0.1561579792489,-0.056645040767907,0.0428861618844886,Invariant,1,computer11
lv =~ q4,TRUE,0.296140409790694,0.292861048510314,0.0728105220886795,0.0887741266351597,0.00327936128038022,0.12140973387718,0.98801687566243,0.0091601030528134,143,0.294385852149344,0.298886214429438,0.0748661838732617,0.0740474210249634,-0.00450036228009352,0.101136996913823,0.989220337267092,0.00924048156624498,224,-0.191456152624068,0.0403933639737425,0.272171810776966,-0.245649459910769,-0.0604416803994562,0.124833810357297,Invariant,1,computer11
lv =~ q5,FALSE,0.449042118961435,0.445169025252653,0.0772575127784503,0.0779834553589753,0.00387309370878166,0.10684180035453,0.923917379464803,0.0349592669561181,821,0.447624654556939,0.446379568281987,0.0773390890441691,0.0775727141023956,0.00124508627495205,0.108790241672123,0.928074287628023,0.0340196883882643,756,-0.0468621410501313,0.0498972843214809,0.146641502760551,-0.0847392027367507,0.0160747578137046,0.11688339620037,Invariant,1,computer11
lv =~ q5,TRUE,0.452275901863745,0.456003180496939,0.0751786104627968,0.0761864872254291,-0.00372727863319358,0.114741230709302,0.987641348241766,0.00906039904017403,179,0.451051562435546,0.447388476227555,0.0744311273319587,0.074178713675456,0.00366308620799127,0.0992871634925211,0.98875016559951,0.00900129566994898,244,-0.256419385078224,-0.0492477600879866,0.157992988751334,-0.128201235587699,0.0492979589959154,0.226746463249595,Invariant,1,computer11
